asin,brand,product_title,rating,title,body,date,verified_purchase,helpful_votes
B097BG27MD,Safari,,4,"Good Cabin Size, Sturdy Build","This trolley is perfect for short trips. The 8-wheel system rolls smoothly, and the hard case feels quite durable.  Handles everything well and is within the cabin size limit for most flights.","Reviewed in India on March 10, 2024",True,12
B097BG27MD,Safari,,5,Excellent Value for Money,I got this for my daughter going to Pune for college. The build quality is surprisingly good for the price. The wheels are very smooth and it’s lightweight enough to carry around. Highly recommended!,"Reviewed in India on March 10, 2024",True,18
B097BG27MD,Safari,,3,Handle Started Loosening,"The trolley is decent, looks good and the wheels are smooth. However, after just a couple of trips, the handle started to feel a bit loose.  Otherwise, it’s fine for light travel.","Reviewed in India on March 10, 2024",True,8
B097BG27MD,Safari,,4,Compact and Functional,"Bought this for business trips.  It's compact, fits easily in overhead compartments, and the 8-wheel system makes it easy to maneuver through airports.  Good for the price.","Reviewed in India on March 10, 2024",True,15
B097BG27MD,Safari,,4,Solid and Reliable,"This trolley is surprisingly sturdy.  The material feels durable, and the wheels roll very well.  A good, reliable option for cabin luggage.","Reviewed in India on March 10, 2024",True,10
B097BG27MD,Safari,,3,Zipper Could be Better,"The trolley is a good size and looks stylish, but the zipper feels a little cheap. I’m a little concerned about its long-term durability.","Reviewed in India on March 10, 2024",True,6
B097BG27MD,Safari,,5,Perfect for International Travel,Used this on a trip to Dubai. It held up really well and the 8 wheels made navigating the airport so much easier!  Good value and lightweight.,"Reviewed in India on March 10, 2024",True,20
B097BG27MD,Safari,,4,"Nice Trolley, Good Value",A good quality trolley at a reasonable price. The wheels are smooth and the hard case protects the contents well. I’m happy with my purchase. From Mumbai.,"Reviewed in India on March 10, 2024",True,14
B097JK62G2,Safari,,4,Stylish and Functional,The Persia series looks really elegant. The polycarbonate material feels strong and the spinner wheels are smooth. A good choice for cabin luggage.,"Reviewed in India on March 10, 2024",True,11
B097JK62G2,Safari,,3,Handle Feels a Bit Flimsy,"Overall, a decent trolley, but the handle doesn’t feel as sturdy as I’d like.  It wobbles a little. Otherwise, it's fine for short trips.","Reviewed in India on March 10, 2024",True,7
B097JK62G2,Safari,,5,Love the Design!,The design is really appealing. It's lightweight and the 4 spinner wheels make it easy to maneuver.  Perfect for my travels to Bangalore.,"Reviewed in India on March 10, 2024",True,19
B097JK62G2,Safari,,4,Good Quality for the Price,I was looking for a stylish and lightweight cabin trolley and this fits the bill. The material seems durable and the wheels roll smoothly.,"Reviewed in India on March 10, 2024",True,13
B097JK62G2,Safari,,3,Zipper Issues,"The trolley itself is nice, but the zipper seems a little weak and I’m worried it might break easily. I hope it holds up over time.","Reviewed in India on March 10, 2024",True,5
B097JK62G2,Safari,,4,Compact and Easy to Carry,This trolley is perfect for carry-on luggage. It's lightweight and easy to maneuver through airports. Great value for money. From Chennai.,"Reviewed in India on March 10, 2024",True,16
B097JK62G2,Safari,,5,Excellent Product,The trolley is well-made and looks very stylish. The spinner wheels are smooth and quiet. Very happy with my purchase!,"Reviewed in India on March 10, 2024",True,22
B097JK62G2,Safari,,4,Nice trolley bag.,It is a great cabin bag. Lightweight and stylish.,"Reviewed in India on March 10, 2024",True,9
B00SWV4NCU,Safari,,3,Okay but Handle is Loose,"The medium size is good for longer trips. The wheels are decent, but the handle already feels a little loose after just one journey.","Reviewed in India on March 10, 2024",True,6
B00SWV4NCU,Safari,,4,Durable and Spacious,This is a really good quality trolley for the price. It's spacious and the 8 wheels make it easy to pull. I travel frequently to Hyderabad and this has been a lifesaver.,"Reviewed in India on March 10, 2024",True,17
B00SWV4NCU,Safari,,5,Excellent Value for Money!,I bought this for my parents and they love it! The 8 wheels roll so smoothly and it's surprisingly spacious.  A great buy!,"Reviewed in India on March 10, 2024",True,25
B00SWV4NCU,Safari,,4,Good for the Price,The trolley is sturdy and the wheels are smooth. A good option if you're looking for a reliable and affordable suitcase.,"Reviewed in India on March 10, 2024",True,14
